identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year,current_status,current_barcode,current_decision_date
209400,A471,103,[AMY William Henry : Service Number - 2567 : Unit - HMAS MELBOURNE : Date of Court Martial - N/A],1914 - 1914,1914-01-01,1914-01-01,Canberra,Closed,03 Apr 2012,2012-04-03,33(1)(g),2019,Open,,2020-03-18
270746,A6119,74,"CHANDLER, Herbert Bovyll - Volumel 4",1952 - 1953,1952-01-01,1953-01-01,XNAA,Closed,07 Oct 2011,2011-10-07,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,11197853,1995-04-26
270755,A6119,73,"CHANDLER, Herbert, Bovyll - Volume 3",1953 - 1953,1953-01-01,1953-01-01,XNAA,Closed,26 Apr 1995,1995-04-26,33(1)(a)|33(1)(d)|33(1)(g),2019,Not found,,
270759,A6119,94,Nina CHRISTESEN [and Clem CHRISTESEN],1949 - 1954,1949-01-01,1954-01-01,Canberra,Closed,19 Jan 2007,2007-01-19,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Not found,,
270772,A6119,51,SMITH-WHITE Spencer,1947 - 1954,1947-01-01,1954-01-01,XNAA,Closed,14 Dec 2016,2016-12-14,33(1)(a)|33(1)(d)|33(1)(g),2019,Closed,21513193,2017-02-16
271783,A1838,78/5/1 PART 7,NATO - North Atlantic Council - Ministerial Meetings,1957 - 1957,1957-01-01,1957-01-01,Canberra,Closed,18 Dec 2019,2019-12-18,Withheld pending adv,2019,Open,,2020-06-04
272503,A6119,96,Ric Prichard THROSSELL Volume 2.,1954 - 1954,1954-01-01,1954-01-01,Canberra,Closed,29 Mar 2012,2012-03-29,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Open with exception,12093461,2019-11-13
273274,A1838,162/11/73 PART 1,Congo. Relations with Other Countries - Congo - Belgium,1960 - 1960,1960-01-01,1960-01-01,Canberra,Closed,01 Dec 2011,2011-12-01,Withheld pending adv,2019,Open with exception,,2020-11-09
273430,A1838,160/2/1 PART 9,Ceylon - Political - General,1961 - 1962,1961-01-01,1962-01-01,Canberra,Closed,22 Mar 2017,2017-03-22,Withheld pending adv,2019,Open with exception,,2020-01-13
273470,A1838,160/2/1 PART 8,Ceylon - Political - General,1960 - 1960,1960-01-01,1960-01-01,Canberra,Closed,21 Mar 2017,2017-03-21,Withheld pending adv,2019,Open with exception,,2020-03-02
273732,A6119,101,"WATEN, Judah Leon Part 1",1928 - 1953,1928-01-01,1953-01-01,XNAA,Closed,23 Dec 1985,1985-12-23,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,12123567,1985-12-23
276702,A6119,168,Lloyd Robert Maxwell ROSS,1934 - 1964,1934-01-01,1964-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505313,1995-04-26
276703,A6119,169,Kate Doreen SHANAHAN formerly JULINO nee GILBHAM,1948 - 1950,1948-01-01,1950-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Closed,5505314,2018-09-11
276707,A6119,173,Claudio ALCORSO,1949 - 1954,1949-01-01,1954-01-01,XNAA,Closed,17 Aug 2012,2012-08-17,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Not found,,
276708,A6119,174,Thomas Percival LAIDLER,1935 - 1954,1935-01-01,1954-01-01,XNAA,Closed,02 Sep 2011,2011-09-02,33(1)(a)|33(1)(d)|33(1)(g),2019,Not found,,
304326,A432,1969/3072 ATTACHMENT 1,Wilfred Graham Burchett,1954 - 1954,1954-01-01,1954-01-01,Canberra,Closed,08 Dec 2011,2011-12-08,33(1)(a)|33(1)(b)|Withheld pending adv,2019,Not yet examined,4142296,2020-02-13
304327,A432,1969/3072 ATTACHMENT 2,Wilfred Graham Burchett,1953 - 1954,1953-01-01,1954-01-01,Canberra,Closed,09 Dec 2011,2011-12-09,33(1)(a)|33(1)(b)|Withheld pending adv,2019,Closed,4142297,2011-12-08
338601,A6119,248,"BREZNIAK, Lhyam (VOLUME 2)",1955 - 1955,1955-01-01,1955-01-01,XNAA,Closed,03 Aug 2006,2006-08-03,33(1)(a)|33(1)(d)|33(1)(g),2019,Not found,,
429749,A6119,270,George Ernest MORRIS,1949 - 1955,1949-01-01,1955-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505303,1987-11-18
429751,A6119,273,Walter Charles ROBERTSON,1952 - 1952,1952-01-01,1952-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505306,1987-11-18
429752,A6119,272,Charles SILVER,1943 - 1957,1943-01-01,1957-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505305,1987-12-16
429753,A6119,271,Harry Roydon TORR,1940 - 1954,1940-01-01,1954-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505304,1987-12-16
437497,A6119,276,"CHRISTESEN, Clement Byrne - Part 2",1949 - 1954,1949-01-01,1954-01-01,Canberra,Closed,12 Sep 2012,2012-09-12,33(1)(a)|33(1)(d)|33(1)(g),2019,Not found,,
437504,A6119,277,"CHRISTESEN, Clement Byrne Part 3",1955 - 1956,1955-01-01,1956-01-01,Canberra,Closed,12 Sep 2012,2012-09-12,33(1)(a)|33(1)(d)|33(1)(g),2019,Not found,,
440734,A1838,69/1/1/4/4 PART 12,USSR - Foreign policy - United Kingdom reports - Trends of Communist Propaganda and Policy,1965 - 1966,1965-01-01,1966-01-01,Canberra,Closed,25 Feb 2011,2011-02-25,Withheld pending adv,2019,Open,,2020-05-21
451165,A6119,296,Edward George ROBERTSON Volume 3,1949 - 1959,1949-01-01,1959-01-01,Canberra,Closed,21 Jun 2011,2011-06-21,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Not found,,
451892,A6119,343,Ian Frank George MILNER volume 3,1944 - 1957,1944-01-01,1957-01-01,XNAA,Closed,19 Jan 2007,2007-01-19,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Open with exception,12245544,2007-01-19
451924,A6119,322,Audrey Elsie BLAKE volume 3,1957 - 1964,1957-01-01,1964-01-01,Canberra,Closed,29 Mar 1995,1995-03-29,33(1)(a),2019,Closed,21519396,1995-03-29
463609,A5954,2367/2,O/S [Overseas] Travel - DSB [Defence Signal Branch] Programme,1947 - 1956,1947-01-01,1956-01-01,Canberra,Closed,08 Dec 2015,2015-12-08,Withheld pending adv,2019,Open with exception,,2020-08-31
464407,A6119,363,"STREET, Jessie Part 4",1954 - 1957,1954-01-01,1957-01-01,Canberra,Closed,20 Oct 2005,2005-10-20,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Open,5505325,2002-05-06
464680,A5954,2355/2,"Co-operation in British Commonwealth Defence - exchange of JIC [Joint Intelligence Committee] papers between Canada and Australia and United Kingdom, New Zealand and Australia",1954 - 1956,1954-01-01,1956-01-01,Canberra,Closed,17 Jan 2017,2017-01-17,Withheld pending adv,2019,Open with exception,,2020-03-06
470748,A6119,350,"HOFFMAN, Lech Wladyslaw",1955 - 1956,1955-01-01,1956-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505327,1989-06-01
492932,A6119,370,"ZUSMAN, Nathan",1948 - 1959,1948-01-01,1959-01-01,Canberra,Closed,11 Sep 2018,2018-09-11,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505359,1990-05-04
492968,A6119,374,"ALAGICH, Stephen",1934 - 1964,1934-01-01,1964-01-01,XNAA,Closed,12 Sep 2018,2018-09-12,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2019,Open with exception,5505363,1995-12-20
492976,A6119,376,"ROBERTS, Thomas",1952 - 1953,1952-01-01,1953-01-01,Canberra,Closed,12 Sep 2018,2018-09-12,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505345,1989-09-15
492979,A6119,377,Edward Andrew Heringham LAURIE,1943 - 1955,1943-01-01,1955-01-01,Canberra,Closed,10 Sep 2018,2018-09-10,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505349,1993-05-25
504061,AWM52,35/14/2,LHQ Chemical Warfare Training Unit (August-September 1945),1945 - 1945,1945-01-01,1945-01-01,Australian War Memorial,Closed,08 Jun 2012,2012-06-08,Withheld pending adv,2019,Open,,2020-12-16
510254,A5954,1626/5,Strategical planning in relation to co-operation in British Commonwealth defence. Visit of United Kingdom planning team.,1949 - 1949,1949-01-01,1949-01-01,Canberra,Closed,06 Dec 2017,2017-12-06,Withheld pending adv,2019,Open with exception,,2020-03-11
518201,A6119,384,John MAYNES,1951 - 1951,1951-01-01,1951-01-01,Canberra,Closed,12 Sep 2018,2018-09-12,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505351,1993-07-20
518213,A6119,386,"SHORT, Lawrence E",1946 - 1955,1946-01-01,1955-01-01,Canberra,Closed,12 Sep 2018,2018-09-12,33(1)(a)|33(1)(d)|33(1)(g),2019,Open with exception,5505353,1993-08-03
545448,A1838,855/5 PART 1,Economic Relations - Bangladesh Foreign Aid,1971 - 1974,1971-01-01,1974-01-01,Canberra,Closed,13 Apr 2017,2017-04-13,Withheld pending adv,2019,Open,,2020-09-21
545468,A1838,3080/4/2 ANNEX A,Papua New Guinea - Defence and Security - Internal Security and Counter-Subversion,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,09 Dec 2015,2015-12-09,Withheld pending adv,2019,Open,,2020-09-14
545727,A1838,913/2 PART 14,United Nations General Assembly - Hungary,1958 - 1959,1958-01-01,1959-01-01,Canberra,Closed,09 Oct 2019,2019-10-09,Withheld pending adv,2019,Open with exception,,2020-09-16
545728,A1838,913/2 PART 15,United Nations General Assembly - Hungary,1959 - 1961,1959-01-01,1961-01-01,Canberra,Closed,09 Oct 2019,2019-10-09,Withheld pending adv,2019,Open with exception,,2020-04-22
545927,A1838,915/1 PART 56,United Nations Political Korea including including UN Commission for Unification and Rehabilitation of Korea,1974 - 1974,1974-01-01,1974-01-01,Canberra,Closed,19 Oct 2015,2015-10-19,Withheld pending adv,2019,Open with exception,,2020-03-02
546434,A1838,919/13/4 PART 30,France - Disarmament - Nuclear Weapons Testing,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,29 Aug 2016,2016-08-29,Withheld pending adv,2019,Open,,2020-01-08
546443,A1838,919/13/4 PART 33,France - Disarmament - Nuclear Weapons Testing,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,26 Oct 2016,2016-10-26,Withheld pending adv,2019,Open,,2020-08-04
546452,A1838,919/13/4 PART 44,France - Disarmament - Nuclear Weapons Testing,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,10 Oct 2016,2016-10-10,Withheld pending adv,2019,Open,,2020-07-01
546459,A1838,919/13/4 PART 51,France - Disarmament - Nuclear Weapons Testing,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,01 Sep 2016,2016-09-01,Withheld pending adv,2019,Open,,2020-01-15
546466,A1838,919/13/4 PART 58,France - Disarmament - Nuclear Weapons Testing,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,21 Mar 2016,2016-03-21,Withheld pending adv,2019,Open with exception,,2020-01-22
547001,A1838,938/17/23/2 PART 5,Law of the Sea - 3rd United Nations Law of the Sea Conference - 3rd Session 1975,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,02 Feb 2017,2017-02-02,Withheld pending adv,2019,Open with exception,,2020-02-17
547073,A1838,3000/2/7,South East Asia - PIBs Prepared in Section - Indo-China - Since 1972,1972 - 1974,1972-01-01,1974-01-01,Canberra,Closed,20 Jun 2011,2011-06-20,Withheld pending adv,2019,Open,,2020-01-03
547089,A1838,3000/2/9,Australian Policy Towards Indo-China,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,23 Jun 2011,2011-06-23,Withheld pending adv,2019,Open with exception,,2020-02-10
547090,A1838,3000/2/9 PART 2,Australian Policy Towards Indo-China,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,23 Jun 2011,2011-06-23,Withheld pending adv,2019,Open with exception,,2020-02-12
547874,A1838,3014/1/1 PART 3,South Vietnam - Internal - General,1971 - 1975,1971-01-01,1975-01-01,Canberra,Closed,21 Apr 2017,2017-04-21,Withheld pending adv,2019,Open with exception,,2020-11-17
548269,A1838,3107/11/2 PART 12,China - Social - Education,1970 - 1970,1970-01-01,1970-01-01,Canberra,Closed,05 Sep 2019,2019-09-05,Withheld pending adv,2019,Open with exception,,2020-02-05
548304,A1838,3123/2 PART 13,Korea - Consideration of Korean Question by General Assembly,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,08 Aug 2016,2016-08-08,Withheld pending adv,2019,Open with exception,,2020-02-05
548309,A1838,3123/2 PART 18,Korea - Consideration of Korean Question by General Assembly,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,15 Aug 2016,2016-08-15,Withheld pending adv,2019,Open with exception,,2020-01-28
548431,A1838,3127/11/91 PART 6,Korea - Relations between North & South Korea - Including Re-Unification,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,03 Feb 2017,2017-02-03,Withheld pending adv,2019,Open with exception,,2020-07-22
548701,A1838,3107/40/52 PART 64,China - Relations with USSR,1972 - 1973,1972-01-01,1973-01-01,Canberra,Closed,07 Nov 2011,2011-11-07,Withheld pending adv,2019,Open with exception,,2020-10-14
549486,A1838,3016/10/15/3 PART 1,Cambodia - Australia Aid - USA Truck Purchase,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,13 Nov 2019,2019-11-13,Withheld pending adv,2019,Open,,2020-05-22
549519,A1838,3016/11/161 PART 34,Cambodia - Relations with United States of America,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,19 Apr 2017,2017-04-19,Withheld pending adv,2019,Open with exception,,2020-10-15
549649,A1838,3020/2/1/3 PART 1,North Vietnam - Leadership Questions,1970 - 1974,1970-01-01,1974-01-01,Canberra,Closed,14 Apr 2014,2014-04-14,Withheld pending adv,2019,Open with exception,,2020-04-06
549930,A1838,563/1/1 PART 8,Communism - Material Supplied by UKHC - Canberra,1960 - 1966,1960-01-01,1966-01-01,Canberra,Closed,03 Apr 2017,2017-04-03,Withheld pending adv,2019,Open with exception,,2020-08-10
549968,A1838,563/6/6/8,Communism - Conference on Co-Operation in Information Activities in South East Asia - Documents Circulated at 1961 Conference,1961 - 1961,1961-01-01,1961-01-01,Canberra,Closed,15 Feb 2011,2011-02-15,Withheld pending adv,2019,Open,,2020-06-03
550093,A1838,3027/2/9/7 PART 2,Malaysia - Political Internal Security - Review of Australian Intelligence - Holdings 1971-72,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,16 Jul 2015,2015-07-16,Withheld pending adv,2019,Open with exception,,2020-01-22
550101,A1838,3027/4/1 PART 4,Malaysia - Economic and Financial,1965 - 1975,1965-01-01,1975-01-01,Canberra,Closed,04 Nov 2019,2019-11-04,Withheld pending adv,2019,Open with exception,,2020-03-19
550120,A1838,3027/10/1 PART 14,Malaysia - Political Relations with Australia,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,07 Jun 2011,2011-06-07,Withheld pending adv,2019,Open with exception,,2020-03-12
550295,A1838,3034/2/1/1 PART 2,Indonesia - Regional - Political Developments,1957 - 1959,1957-01-01,1959-01-01,Canberra,Closed,24 Nov 2017,2017-11-24,Withheld pending adv,2019,Not yet examined,,2020-11-05
551068,A1838,479/3/1 PART 1,Japan - Level of Economic Life for Japan,1946 - 1946,1946-01-01,1946-01-01,Canberra,Closed,12 Nov 2019,2019-11-12,Withheld pending adv,2019,Open,,2020-03-12
551201,A1838,3080/1/2/3 PART 1,Papua New Guinea - Political Situation - Papua - General,1971 - 1973,1971-01-01,1973-01-01,Canberra,Closed,18 Apr 2017,2017-04-18,Withheld pending adv,2019,Not yet examined,,2020-07-17
551202,A1838,3080/1/2/3 PART 2,Papua New Guinea - Political Situation - Papua - General,1973 - 1975,1973-01-01,1975-01-01,Canberra,Closed,28 Apr 2017,2017-04-28,Withheld pending adv,2019,Not yet examined,,2020-10-21
551207,A1838,3080/1/2/10 PART 1,Papua New Guinea - Political Situation - Highlands - General,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,18 Apr 2017,2017-04-18,Withheld pending adv,2019,Not yet examined,,2020-03-24
551210,A1838,3080/1/2/10 PART 2,Papua New Guinea - Political Situation - Highlands - General,1972 - 1974,1972-01-01,1974-01-01,Canberra,Closed,28 Apr 2017,2017-04-28,Withheld pending adv,2019,Not yet examined,,2020-10-20
551214,A1838,3080/1/2/10 PART 3,Papua New Guinea - Political Situation - Highlands - General,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,28 Apr 2017,2017-04-28,Withheld pending adv,2019,Not yet examined,,2020-10-20
551290,A1838,3080/4/2 PART 1,Papua New Guinea - Defence & Security - Internal Security & Counter-Subversion,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,29 Oct 2015,2015-10-29,Withheld pending adv,2019,Open with exception,,2020-01-14
551292,A1838,3080/4/2 PART 2,Papua New Guinea - Defence & Security - Internal Security,1972 - 1973,1972-01-01,1973-01-01,Canberra,Closed,08 Dec 2015,2015-12-08,Withheld pending adv,2019,Open with exception,,2020-09-03
551296,A1838,3080/4/4,Papua New Guinea - Defence & Security - Military Aid to Civil Power,1972 - 1975,1972-01-01,1975-01-01,Canberra,Closed,18 Apr 2017,2017-04-18,Withheld pending adv,2019,Not yet examined,,2020-03-24
551791,A1838,750/1 PART 2,Cambodia - Economic Relations with Australia,1967 - 1971,1967-01-01,1971-01-01,Canberra,Closed,31 Mar 2017,2017-03-31,Withheld pending adv,2019,Open with exception,,2020-03-11
551914,A1838,752/3/3,Indonesia - Economic Relations with Czechoslovakia,1955 - 1972,1955-01-01,1972-01-01,Canberra,Closed,24 Nov 2017,2017-11-24,Withheld pending adv,2019,Not yet examined,,2020-11-04
551922,A1838,752/3/38 PART 1,Indonesia - Economic Relations with Cambodia,1968 - 1972,1968-01-01,1972-01-01,Canberra,Closed,31 Mar 2017,2017-03-31,Withheld pending adv,2019,Open,,2020-09-02
552643,A1838,704/2 PART 1A,International Commodity Agreement - International Wheat Council,1949 - 1950,1949-01-01,1950-01-01,Canberra,Closed,02 Oct 2019,2019-10-02,Withheld pending adv,2019,Open,,2020-06-03
552844,A1838,67/1/1/4 PART 4,United Kingdom - Foreign Policy - Political Relations with the Six,1974 - 1974,1974-01-01,1974-01-01,Canberra,Closed,20 Apr 2017,2017-04-20,Withheld pending adv,2019,Open with exception,,2020-09-28
553963,A1838,851/19/10,SEATO,1954 - 1961,1954-01-01,1961-01-01,Canberra,Closed,26 Jun 2019,2019-06-26,Withheld pending adv,2019,Open,,2020-03-05
555542,A1838,250/10/2/3 PART 22,USA - Relations with USSR,1969 - 1970,1969-01-01,1970-01-01,Canberra,Closed,03 Nov 2011,2011-11-03,Withheld pending adv,2019,Open with exception,,2020-10-28
556424,A1838,3100/5/17 PART 2,Special Regional Developments - ASEAN Political,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,31 Mar 2017,2017-03-31,Withheld pending adv,2019,Open with exception,,2020-08-05
556587,A1838,3103/2/2/1 PART 3,Japan - Political Parties - Liberal Democratic Party,1967 - 1971,1967-01-01,1971-01-01,Canberra,Closed,04 Nov 2019,2019-11-04,Withheld pending adv,2019,Open with exception,,2020-04-20
558026,A1838,3034/7/7/1 PART 1,Indonesia - External - Foreign aid - Debt re-scheduling,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,13 Nov 2019,2019-11-13,Withheld pending adv,2019,Open with exception,,2020-03-05
563761,A1838,87/2/3/3,British Commonwealth Consultative Committee for South And South East Asia - Council for Technical Education,1950 - 1951,1950-01-01,1951-01-01,Canberra,Closed,14 Aug 2019,2019-08-14,Withheld pending adv,2019,Open,,2020-09-02
570427,A1838,704/10/1 PART 2,Wool Study Group,1949 - 1964,1949-01-01,1964-01-01,Canberra,Closed,16 Oct 2019,2019-10-16,Withheld pending adv,2019,Open,,2020-01-20
581358,A1838,9/2 PART 4,Bulgaria - Political - General,1963 - 1968,1963-01-01,1968-01-01,Canberra,Closed,09 May 2019,2019-05-09,Withheld pending adv,2019,Open with exception,,2020-06-11
581505,A1838,69/1/4/26 PART 4,USSR - Relations with North Vietnam,1965 - 1965,1965-01-01,1965-01-01,Canberra,Closed,09 Apr 2014,2014-04-09,Withheld pending adv,2019,Open with exception,,2020-06-16
581506,A1838,69/1/4/26 PART 5,USSR - Relations with North Vietnam,1965 - 1965,1965-01-01,1965-01-01,Canberra,Closed,09 Apr 2014,2014-04-09,Withheld pending adv,2019,Open with exception,,2020-04-07
581507,A1838,69/1/4/26 PART 6,USSR - Relations with North Vietnam,1965 - 1966,1965-01-01,1966-01-01,Canberra,Closed,09 Apr 2014,2014-04-09,Withheld pending adv,2019,Open with exception,,2020-06-18
581508,A1838,69/1/4/26 PART 7,USSR - Relations with North Vietnam,1966 - 1966,1966-01-01,1966-01-01,Canberra,Closed,08 Apr 2014,2014-04-08,Withheld pending adv,2019,Open with exception,,2020-04-20
581509,A1838,69/1/4/26 PART 8,USSR - Relations with North Vietnam,1966 - 1967,1966-01-01,1967-01-01,Canberra,Closed,19 May 2014,2014-05-19,Withheld pending adv,2019,Open with exception,,2020-06-22
581510,A1838,69/1/4/26 PART 9,USSR - Relations with North Vietnam,1967 - 1968,1967-01-01,1968-01-01,Canberra,Closed,19 May 2014,2014-05-19,Withheld pending adv,2019,Open with exception,,2020-06-03
581511,A1838,69/1/4/26 PART 10,USSR - Relations with North Vietnam,1968 - 1969,1968-01-01,1969-01-01,Canberra,Closed,14 May 2014,2014-05-14,Withheld pending adv,2019,Open with exception,,2020-03-10
581802,A1838,160/2/1 PART 13,Ceylon - Political - General,1966 - 1967,1966-01-01,1967-01-01,Canberra,Closed,03 Apr 2017,2017-04-03,Withheld pending adv,2019,Open with exception,,2020-11-18
582596,A1838,3018/9/4 PART 16,Laos - Relations with International Organisations - Implementation of Armistice Agreement,1959 - 1959,1959-01-01,1959-01-01,Canberra,Closed,09 Jul 2019,2019-07-09,Withheld pending adv,2019,Open with exception,,2020-02-19
582757,A1838,3020/2/1 PART 5B,North Vietnam - Political General,1960 - 1961,1960-01-01,1961-01-01,Canberra,Closed,03 Apr 2014,2014-04-03,Withheld pending adv,2019,Open with exception,,2020-04-08
583123,A1838,31/2 PART 18,Greece - Political developments,1970 - 1971,1970-01-01,1971-01-01,Canberra,Closed,30 Apr 2019,2019-04-30,Withheld pending adv,2019,Open with exception,,2020-06-02
583597,A1838,722/2/2 PART 8,Soviet Economic Activity - United Kingdom Reports,1965 - 1967,1965-01-01,1967-01-01,Canberra,Closed,31 Jan 2017,2017-01-31,Withheld pending adv,2019,Open,,2020-07-01
583683,A1838,3034/7/1/1 PART 1,Indonesia - External relations - Talks on Indonesia [341 pp],1963 - 1963,1963-01-01,1963-01-01,Canberra,Closed,14 Jul 2011,2011-07-14,33(1)(a)|33(1)(b)|Withheld pending adv,2019,Open with exception,,2020-08-05
584341,A1838,741/1 PART 2,Malaysia - Economic Relations with Australia,1965 - 1967,1965-01-01,1967-01-01,Canberra,Closed,15 Jul 2019,2019-07-15,Withheld pending adv,2019,Open with exception,,2020-09-07
584745,A1838,193/10/10/3 PART 3,Iran - Visitors to Australia - Shah of Iran,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,09 May 2011,2011-05-09,Withheld pending adv,2019,Open with exception,,2020-09-29
585516,A1838,69/1/1/4/4 PART 2,USSR Foreign Policy - United Kingdom Reports Trends of Communist Propaganda,1951 - 1953,1951-01-01,1953-01-01,Canberra,Closed,15 Feb 2011,2011-02-15,Withheld pending adv,2019,Open,,2020-05-21
586160,A1838,195/2 PART 2,Persian Gulf States Muscat & Oman,1957 - 1959,1957-01-01,1959-01-01,Canberra,Closed,10 Oct 2016,2016-10-10,Withheld pending adv,2019,Open with exception,,2020-10-26
586233,A1838,761/2 PART 2,Korea Reports on Economic Developments,1954 - 1959,1954-01-01,1959-01-01,Canberra,Closed,25 May 2016,2016-05-25,Withheld pending adv,2019,Open with exception,,2020-08-24
587732,A1838,69/1/4/26 PART 11,USSR - Relations with North Vietnam,1969 - 1972,1969-01-01,1972-01-01,Canberra,Closed,08 May 2014,2014-05-08,Withheld pending adv,2019,Open with exception,,2020-06-16
587735,A1838,69/1/4/26 PART 12,USSR - Relations with North Vietnam,1972 - 1973,1972-01-01,1973-01-01,Canberra,Closed,14 May 2014,2014-05-14,Withheld pending adv,2019,Open with exception,,2020-02-27
587739,A1838,69/1/4/27 PART 3,USSR - Relations with North Korea,1966 - 1971,1966-01-01,1971-01-01,Canberra,Closed,30 Jan 2017,2017-01-30,Withheld pending adv,2019,Open with exception,,2020-03-04
587769,A1838,69/1/4/35 PART 9,USSR - Relations with East & South East Asia,1970 - 1970,1970-01-01,1970-01-01,Canberra,Closed,25 May 2016,2016-05-25,Withheld pending adv,2019,Open with exception,,2020-08-06
587882,A1838,69/4/4 PART 4,USSR - Social & Cultural - Travel in Soviet Union,1964 - 1970,1964-01-01,1970-01-01,Canberra,Closed,10 Nov 2011,2011-11-10,Withheld pending adv,2019,Open with exception,,2020-10-28
587925,A1838,69/5/1 PART 23,USSR - Defence Army - Navy and Air Force - Presence in Indian Ocean,1972 - 1975,1972-01-01,1975-01-01,Canberra,Closed,02 Mar 2017,2017-03-02,Withheld pending adv,2019,Open with exception,,2020-02-14
587953,A1838,73/1/3 PART 19,Yugoslavia - Relations with Australia,1972 - 1973,1972-01-01,1973-01-01,Canberra,Closed,16 Mar 2015,2015-03-16,Withheld pending adv,2019,Open with exception,,2020-10-14
588584,A1838,155/7/3 PART 4,United States of America - Interests in Africa,1970 - 1975,1970-01-01,1975-01-01,Canberra,Closed,13 Jan 2015,2015-01-13,Withheld pending adv,2019,Open with exception,,2020-02-03
588731,A1838,160/2/1 PART 18,Ceylon - Political - General,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,07 Nov 2016,2016-11-07,Withheld pending adv,2019,Open with exception,,2020-11-04
588732,A1838,160/2/1 PART 19,Ceylon - Political - General,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,08 Nov 2016,2016-11-08,Withheld pending adv,2019,Open with exception,,2020-11-04
588735,A1838,160/2/1 PART 21,Ceylon - Political - General,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,10 Nov 2016,2016-11-10,Withheld pending adv,2019,Open with exception,,2020-11-19
588736,A1838,160/2/1 PART 22,Ceylon - Political - General,1974 - 01 Jan 1800,1974-01-01,1800-01-01,Canberra,Closed,21 Mar 2017,2017-03-21,Withheld pending adv,2019,Open with exception,,2020-11-04
588738,A1838,160/2/1 PART 23,Ceylon - Political - General,1974 - 01 Jan 1800,1974-01-01,1800-01-01,Canberra,Closed,22 Mar 2017,2017-03-22,Withheld pending adv,2019,Open with exception,,2020-11-25
588791,A1838,722/2/2 PART 9,Sino-Soviet Economic Activity United Kingdom Reports,1967 - 1971,1967-01-01,1971-01-01,Canberra,Closed,01 Feb 2017,2017-02-01,Withheld pending adv,2019,Open with exception,,2020-07-07
588844,A1838,741/2/4/3 PART 1,Malaysia - Industry and Raw Materials - Timber,1971 - 1973,1971-01-01,1973-01-01,Canberra,Closed,30 Sep 2019,2019-09-30,Withheld pending adv,2019,Open with exception,,2020-01-14
